ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044289,1,604388,2,17847822,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847823,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847824,BBDBCAACAABBB,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847825,CCBDBBCDDCDDB,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847826,CBBDACACDDADC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847827,CDADACDCDCDBC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847828,DDBCBDCBBCDDA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847829,BACCBCADBDCCA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847830,BCBDBDCCCDDAA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847831,DAACADCADAACC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847832,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847833,CABDCCBBDBAAA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847834,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847835,ACDDBDBBABDAB,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847836,DCCCDBDDDADAC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
