ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036065,1,17829400,CCACBDDABAB,CABAABDAACA,DDABAADBBDB,AAABAACDCBC,270430231,1.109.088.809,-0.512667,0.320915,221.310.229,17.936.686,1,C,B,B,B,B,B,A,A,A,C,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829401,BCADCCCDCCA,BDDCDCACBAB,CDABADCABAA,BDDACDDDDCB,270430231,1.109.088.809,0.140274,0.334125,257.804.621,18.675.024,1,B,C,B,B,A,B,A,A,B,B,A,B,B,'ACIMA DA M?DIA '
27036065,1,17829402,BDDADBACBAA,DCCCCBBABAB,BADABDCCACB,DCDBBADBCDA,270430231,1.109.088.809,-0.836569,0.405695,203.206.592,22.675.238,1,D,C,C,B,A,C,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
27036065,1,17829403,BBCDDDDDABC,CBCAADAACAD,ABACBDCCBCA,BDCCABDBCDC,270430231,1.109.088.809,-0.503901,0.331499,221.800.181,18.528.251,1,B,B,B,B,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829406,CACCBDAACAB,DBBACDDCDAB,BCCBDBDBBCD,CBAAAAACDDD,270430231,1.069.478.494,-0.305631,0.364247,232.881.953,20.358.613,1,B,B,B,B,A,A,A,A,C,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829407,ABBDBADCABC,DBCCCDABAAA,AAD.CDDBBCB,BCBAADAAADD,270430231,1.069.478.494,-1.164.487,0.425894,184.878.492,23.804.207,1,C,B,B,B,B,B,A,A,B,B,B,B,B,'ACIMA DA M?DIA '
27036065,1,17829408,BCADCBDDDCA,BCCDABADBDB,CAABADDAABC,CCCBADDACCD,270430231,1.069.478.494,0.871766,0.382797,298.689.412,21.395.415,1,D,B,B,B,A,B,A,A,A,C,A,A,C,'ACIMA DA M?DIA '
27036065,1,17829409,ACDABAACCAB,CBAABDDCDBB,AADACBACBAC,BBBBABDBCDB,270430231,1.069.478.494,-1.367.739,0.448109,173.518.264,25.045.855,1,B,B,B,B,B,A,A,?,?,B,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829410,BCDCDBACABC,BCBDDDBDDBA,AABBCDDCDCC,CAACCDDCADA,270430231,1.069.478.494,0.117137,0.340408,256.511.441,19.026.196,1,C,C,B,B,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829411,BCBDDCDDADD,CADDADDDDAB,BAACCCDDACB,ACCACDDBCCC,270430231,1.069.478.494,-1.011.116,0.38388,193.450.754,21.455.947,1,D,C,B,A,A,A,A,A,A,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829412,CBBADDBACAA,BBDCCDABDDA,DCACCAABCBC,BCCCADDBDBB,270430231,1.069.478.494,-1.148.582,0.525502,185.767.459,2.937.153,1,C,C,B,A,B,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829413,DCADDDDDCDC,DCDCDDBAABC,ACACBCDACBD,CDACBDDDACA,270430231,1.069.478.494,-0.303438,0.328869,233.004.525,18.381.254,1,C,B,C,B,A,A,?,?,?,?,?,?,?,'ACIMA DA M?DIA '
