@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
B,B,H,D,B,B,B,B,A,A,A,A,A,B,C,C,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,C,B,C,B,C,C,B,C,C,A,B,C,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,B,C,E,C,B,E,A,B,B,C,E,E,E,F,A,A,G,A,A,C,G,A,A,A,A,A,A,A,A,C,B,C,C,B,C,C,B,C,E,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
B,B,H,D,C,B,C,B,B,A,B,A,B,B,C,D,A,A,G,A,A,B,G,A,A,C,A,A,A,A,A,C,B,C,B,C,C,C,C,B,A,B,B,B,A,A,A,A,B,A,C,'ABAIXO DA M�DIA'
A,A,J,D,D,B,C,B,B,A,B,A,B,B,C,C,A,A,E,A,A,A,C,A,A,A,A,A,A,A,A,B,A,C,B,A,B,B,B,D,A,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,I,C,B,B,B,B,B,A,B,A,A,B,C,E,A,B,E,A,A,B,G,A,A,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,E,B,A,B,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,F,K,G,C,A,C,C,C,A,A,B,A,B,C,C,A,C,G,B,B,A,G,A,B,A,A,A,A,A,A,C,B,?,B,?,?,B,C,C,C,B,A,A,A,B,A,B,B,B,B,'ABAIXO DA M�DIA'
A,F,B,E,C,A,E,B,B,A,A,A,D,C,C,F,A,A,C,A,A,A,G,A,A,B,A,A,A,?,A,C,A,C,A,C,B,B,C,B,B,B,B,A,B,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,F,J,F,C,C,C,B,A,A,B,B,B,B,D,E,A,A,D,A,A,B,G,A,A,A,A,A,A,A,A,C,A,A,A,A,B,A,B,C,C,B,A,A,B,A,A,B,A,A,B,'ABAIXO DA M�DIA'
B,C,L,C,A,B,E,B,B,A,B,B,B,B,C,E,A,A,E,A,A,A,G,A,A,A,A,A,A,A,A,C,A,C,A,A,B,A,A,C,C,B,A,A,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
A,F,F,D,C,?,C,B,B,A,B,A,C,B,C,F,A,A,G,A,A,A,A,B,A,B,A,A,A,A,B,?,?,?,A,?,A,?,?,C,B,B,B,B,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
B,B,E,C,?,C,C,C,C,A,B,A,B,B,C,E,B,A,C,A,A,B,C,A,A,C,A,A,A,A,A,C,A,B,B,B,B,C,B,B,B,B,B,C,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
B,B,D,D,C,C,B,C,C,A,C,A,A,B,C,E,A,A,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,B,A,A,B,B,B,A,B,B,B,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
B,B,H,D,B,A,B,B,B,A,A,A,A,B,C,E,A,A,A,A,A,B,A,A,B,B,A,A,A,A,B,C,B,C,C,C,C,B,B,A,E,B,B,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
A,F,A,C,B,?,C,C,B,A,B,A,A,B,B,E,A,A,C,A,A,A,G,A,A,B,A,A,A,A,B,C,A,C,A,C,B,B,C,A,A,B,B,A,A,A,?,A,B,B,B,'ABAIXO DA M�DIA'
B,B,J,D,A,?,D,C,B,A,B,B,A,B,C,B,A,A,E,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,A,B,B,B,A,D,A,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,C,C,B,B,B,B,A,A,A,A,A,B,D,E,A,C,G,A,A,A,G,A,A,C,A,A,A,A,A,C,B,?,?,A,B,C,B,A,A,B,A,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
B,B,B,D,B,B,B,B,B,A,A,A,A,B,D,E,A,B,G,A,A,A,G,A,A,B,A,A,A,A,A,C,B,C,?,B,B,C,B,D,B,B,A,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
A,B,F,E,B,B,B,B,B,A,B,A,B,B,C,C,A,A,D,A,A,A,B,A,A,B,B,A,A,A,B,C,A,C,B,A,C,A,C,C,C,B,C,C,A,A,C,C,A,A,D,'ABAIXO DA M�DIA'
B,F,D,D,C,A,B,B,B,A,B,A,B,C,C,F,A,A,G,A,A,B,G,A,B,A,A,A,A,A,B,C,A,C,B,A,B,B,A,A,A,B,A,A,A,A,A,B,B,B,B,'ABAIXO DA M�DIA'
B,B,I,D,C,B,B,B,B,A,B,A,A,B,C,D,A,A,D,A,A,C,G,A,A,B,A,A,A,A,A,C,B,B,B,C,B,B,B,B,A,B,D,C,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
A,E,L,C,C,A,B,B,B,A,B,B,B,B,C,C,A,A,C,A,A,A,C,A,A,A,A,A,A,A,A,C,A,B,A,A,B,B,C,D,E,B,B,A,A,A,B,B,A,A,B,'ABAIXO DA M�DIA'
B,F,F,D,?,A,B,B,A,A,B,A,A,B,C,F,A,A,F,A,A,C,G,A,A,A,A,A,A,A,B,C,B,B,B,B,B,C,C,C,B,B,C,C,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,B,C,D,A,C,C,B,B,A,B,B,A,B,C,E,A,A,E,A,A,C,E,A,A,B,A,A,A,A,A,?,?,?,?,A,B,?,?,A,A,B,B,C,A,B,A,B,B,B,B,'ABAIXO DA M�DIA'
