ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q017,TX_RESP_Q029,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044289,3,1,604386,1,17847737,CADCCACACCBCC,BCCAADCDDACAC,C*DDAAACCBCDD,ACDCABDDBADBB,270915231,1.088.235.294.100.000,-0.217111000000000,238.023.615.000.000.000,22.565.470.000.000.000,B,E,C,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847738,ACBACDCCCACBD,CDAABDCADADDA,BDBBABDDBCDCC,ADCBACAAACDDA,270915231,?,0.270564000000000,264.891.271.000.000.000,20.783.255.000.000.000,C,I,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847739,BCBDCDCCDADDD,BACDACCDBDDDB,BBCBBDCDCDABC,BBDABAACCBBAB,270915231,1.088.235.294.100.000,0.300309000000000,266.530.023.000.000.000,21.315.071.000.000.000,B,I,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847740,CBDBABDAABABD,BABADCCADADDA,BDBCBCBDDDCCB,AACBACAAAADAA,270915231,1.088.235.294.100.000,0.306867000000000,266.891.325.000.000.000,18.143.567.000.000.000,B,C,B,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847741,AADDCDDDDACDD,CDDDACDADBADA,AACDDCACADDBD,CDDAAACADDCDA,270915231,1.088.235.294.100.000,-0.509469000000000,221.916.630.000.000.000,24.152.655.000.000.000,B,G,B,C,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847742,CCDCBDDBABDBD,BCBACDDCCBCDD,BDDCBBBDDABBD,DDDBC*DDCAD*C,270915231,1.088.235.294.100.000,0.158293000000000,258.705.884.000.000.000,16.305.983.000.000.000,B,H,C,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847743,BDBDACCDBADDB,AADCADDABBBAA,DBDCDAACACABC,ABDBBBBDDBADA,270915231,1.088.235.294.100.000,-0.240997000000000,236.707.655.000.000.000,18.489.112.000.000.000,B,C,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847744,BDBBBCBBBCCDA,BCDDABADABABA,DAACACAACBBCA,BCBBBBCCADDCB,270915231,1.088.235.294.100.000,0.466826000000000,275.704.004.000.000.000,17.840.884.000.000.000,A,J,C,B,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847745,CDBCCAADCCCAC,BABDADCDBBADB,AADDDDCCACCAC,AAACBBACDCBBB,270915231,1.088.235.294.100.000,-0.515594000000000,221.579.183.000.000.000,20.488.505.000.000.000,B,I,C,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847746,BDACBCCADADDC,CABAADCACBDCD,BDDCACAAACCBA,ACADAADCCBABD,270915231,1.088.235.294.100.000,0.152766000000000,258.401.383.000.000.000,19.058.061.000.000.000,A,I,C,C,A,C,4.8,'ABAIXO DA MEDIA'
