ID_AREA,ID_DEPENDENCIA_ADM,PROFICIENCIA_LP,TX_RESP_Q027,TX_RESP_Q051,'CLASSIFICADOR IDEB'
1,3,-0.087637,A,B,'ACIMA DA M?DIA '
1,3,-0.498789,A,B,'ACIMA DA M?DIA '
1,3,-0.365403,A,B,'ACIMA DA M?DIA '
1,3,-0.933307,B,C,'ACIMA DA M?DIA '
1,3,-0.848431,A,B,'ACIMA DA M?DIA '
1,3,-0.597818,A,B,'ACIMA DA M?DIA '
1,3,0.243319,A,C,'ACIMA DA M?DIA '
1,3,-0.694633,A,B,'ACIMA DA M?DIA '
1,3,-1.338.106,B,B,'ACIMA DA M?DIA '
1,3,-1.353.051,A,B,'ACIMA DA M?DIA '
1,3,-0.293633,A,B,'ACIMA DA M?DIA '
1,3,-1.209.981,A,B,'ACIMA DA M?DIA '
1,3,0.589326,A,C,'ACIMA DA M?DIA '
1,3,-0.805833,A,B,'ACIMA DA M?DIA '
1,3,-0.700625,A,B,'ACIMA DA M?DIA '
1,3,-0.438243,A,C,'ACIMA DA M?DIA '
1,3,0.146521,A,B,'ACIMA DA M?DIA '
1,3,-0.466426,A,B,'ACIMA DA M?DIA '
1,3,0.033022,A,B,'ACIMA DA M?DIA '
1,3,-0.589801,A,C,'ACIMA DA M?DIA '
1,3,-1.775.891,A,B,'ACIMA DA M?DIA '
1,3,-178.965,A,C,'ACIMA DA M?DIA '
1,3,-0.883521,B,B,'ACIMA DA M?DIA '
1,3,-1.276.761,A,B,'ACIMA DA M?DIA '
1,3,-0.76183,A,B,'ACIMA DA M?DIA '
1,3,-0.143305,A,B,'ACIMA DA M?DIA '
1,3,-105.525,A,D,'ACIMA DA M?DIA '
1,3,0.95363,A,A,'ACIMA DA M?DIA '
1,3,0.15891,A,B,'ACIMA DA M?DIA '
1,3,-0.028666,A,B,'ACIMA DA M?DIA '
1,3,-1.814.303,A,B,'ACIMA DA M?DIA '
1,3,-1.493.345,A,B,'ACIMA DA M?DIA '
1,3,-0.055705,A,B,'ACIMA DA M?DIA '
1,3,-1.063.452,A,A,'ACIMA DA M?DIA '
1,3,-1.803.096,B,B,'ACIMA DA M?DIA '
1,3,0.412442,A,B,'ACIMA DA M?DIA '
